ID	pixel	Z_slicing	interval
EM01_nuclei	0.117	0.75	120
EM10_nuclei	0.117	1	150
EM11_nuclei	0.117	1	150
EM4_nuclei	0.205	0.75	180
EM5_nuclei	0.205	0.75	120
EM6_nuclei	0.117	0.75	120
EM7_nuclei	0.117	0.75	120
EM9_nuclei	0.103	0.5	150
GM13_nuclei	0.117	0.75	150
GM14_nuclei	0.117	0.75	150
GM18_nuclei	0.117	0.75	150
GM19_nuclei	0.117	0.75	150
GM6_nuclei	0.117	0.75	150
GM20_nuclei	0.117	0.75	150
GM21_nuclei	0.108	0.7	150
GM22_nuclei	0.108	0.7	150
GM23_nuclei	0.108	0.7	150
GM24_nuclei	0.108	0.7	150
GM25_nuclei	0.117	0.75	150
GM3_nuclei	0.117	0.75	150
GM6_nuclei	0.117	0.75	150
GM30_nuclei	0.1403	0.7	120
GM31_nuclei	0.1403	0.7	120
GM36_nuclei	0.1404	0.7	120
GM37_nuclei	0.1404	0.7	120
GM38_nuclei	0.1400	0.7	120
GM39_nuclei	0.1400	0.7	120
GM40_nuclei	0.1400	0.7	120
GM41_nuclei	0.1400	0.7	120
GM43_nuclei	0.1400	0.7	120
GM44_nuclei	0.1400	0.7	120
GM45_nuclei	0.1400	0.7	120
GM46_nuclei	0.1400	0.7	120
GM49_nuclei	0.1404	0.7	150
GM50_nuclei	0.1404	0.7	150
GM51_nuclei	0.1404	0.7	150
GM52_nuclei	0.1404	0.7	120
GM54_nuclei	0.1403	0.7	120
GM56_nuclei	0.1400	0.7	120
GM57_nuclei	0.1400	0.7	120
MM4_nuclei	0.117	0.75	120
MM5_nuclei	0.205	0.75	120
MM6_nuclei	0.103	0.75	120
ET20_nuclei	0.205	1	150
ET21_nuclei	0.117	0.75	180
ET22_nuclei	0.117	0.75	120
MT7_nuclei	0.103	0.75	120
MT12_nuclei	0.117	0.75	120
GT14_nuclei	0.117	0.75	150
GT15_nuclei	0.117	0.75	150
GT32_nuclei	0.1400	0.7	120
GT33_nuclei	0.1400	0.35	120
GT34_nuclei	0.1400	0.35	120
GT35_nuclei	0.1404	0.7	120
GT36_nuclei	0.1400	0.7	120
GT37_nuclei	0.1420	0.7	150
GT47_nuclei	0.1404	0.7	150
GT48_nuclei	0.1404	0.7	150
PC29_nuclei	0.150	0.7	150
PC30_nuclei	0.150	0.7	150
GZ01_nuclei_mirrored	0.108	0.7	150
GZ02_nuclei_mirrored	0.108	0.7	150
GZ03_nuclei	0.108	0.7	150
GZ04_nuclei_mirrored	0.108	0.7	150
GZ05_nuclei	0.140	0.75	150
GZ06_nuclei	0.140	0.75	150
GZ07_nuclei	0.140	0.75	150
GZ08_nuclei	0.140	0.75	150
GZ09_nuclei	0.140	0.75	150
GZ10_nuclei	0.140	0.75	150
PM01_nuclei	0.161	0.35	150
PM02_nuclei	0.080	0.7	150
PM03_nuclei	0.108	0.7	150
PM04_nuclei	0.160	0.7	150
PM05_nuclei	0.160	0.7	150
PM06_nuclei	0.160	0.7	150
PM07_nuclei	0.163	0.7	150
PM08_nuclei	0.163	0.7	150
PM09_nuclei	0.121	0.7	150
PM10_nuclei	0.140	0.5	150
PM11_nuclei	0.140	0.5	150
PM13_nuclei	0.150	0.7	150
PM16_nuclei	0.141	0.7	150
PM18_nuclei	0.140	0.7	150
PM19_nuclei	0.140	0.7	150
PM20_nuclei	0.140	0.7	150
PM21_nuclei	0.140	0.7	150
PM23_nuclei	0.140	0.7	150
PM25_nuclei	0.151	0.7	150
PM28_nuclei	0.151	0.7	150
PT27_nuclei	0.151	0.7	150
